amount,hour_of_day,day_of_week,merchant_bucket,merchant_name,category
2841.42,11,5,5,Amazon Prime,bills
538.02,23,1,6,PlayStation Store,entertainment
4764.16,22,1,4,Gas Bill,bills
152.72,18,6,3,RedBus,transport
4179.88,9,1,9,Flipkart,other
3598.2,4,2,4,Jio,bills
269.1,4,5,0,Swiggy Instamart,food
1190.72,15,3,6,BookMyShow,entertainment
579.71,15,0,6,BookMyShow,entertainment
482.77,21,0,1,Zomato,food
475.58,2,1,3,Air India,transport
504.74,19,1,0,Blinkit,food
2269.33,18,3,8,More Supermarket,other
3125.84,23,0,4,Jio,bills
337.01,5,1,2,BMTC,transport
21.28,14,5,2,Rapido,transport
1234.23,22,2,8,Amazon,other
1596.87,20,4,6,PlayStation Store,transport
127.91,4,2,2,IndiGo,transport
305.62,18,2,2,BMTC,transport
1429.49,8,4,6,PlayStation Store,entertainment
3030.38,13,5,9,Flipkart,other
637.46,21,6,4,Jio,bills
4997.9,21,6,8,Amazon,other
3829.85,15,4,4,Hotstar,bills
1994.2,13,5,6,INOX,entertainment
761.13,10,2,7,Nykaa,entertainment
358.73,15,2,1,Burger King,food
169.72,2,2,6,Decathlon,entertainment
2139.44,16,6,4,Hotstar,bills
396.48,1,1,0,Swiggy Instamart,food
2542.62,14,6,8,Big Bazaar,other
148.26,9,3,0,Swiggy Instamart,food
1618.7,22,1,7,Crossword,entertainment
2157.76,7,6,4,Gas Bill,bills
535.78,4,3,1,Zomato,food
2193.77,15,3,4,Water Bill,bills
204.12,19,4,2,Rapido,transport
390.88,13,2,2,BMTC,transport
1485.91,9,6,8,Amazon,other
2499.24,4,3,8,Zepto,other
2804.4,17,3,9,HDFC Bank ATM,other
1963.47,7,4,7,Steam,entertainment
182.93,23,3,6,Ajio,entertainment
1041.12,1,1,6,INOX,entertainment
4361.53,14,0,9,HDFC Bank ATM,other
3639.97,13,6,8,Amazon,other
319.16,12,5,3,Namma Metro,bills
555.77,17,3,1,Pizza Hut,food
3844.89,17,0,4,YouTube Premium,bills
3759.16,13,0,9,1mg,bills
274.6,0,0,1,Chai Point,food
1919.98,13,1,4,Water Bill,bills
347.26,5,1,3,Air India,transport
347.9,15,4,3,Air India,entertainment
141.91,8,5,2,Ola Electric,transport
725.91,21,4,1,Dunzo,food
163.59,13,5,3,Air India,bills
1155.44,12,6,4,Water Bill,bills
1186.65,18,2,6,Ajio,entertainment
237.88,21,6,4,Water Bill,entertainment
422.55,9,6,1,Chai Point,food
125.12,6,4,3,Namma Metro,transport
3883.63,21,6,5,Amazon Prime,bills
330.24,9,6,2,Ola Electric,transport
271.25,9,2,6,INOX,bills
1594.37,11,4,6,INOX,entertainment
906.27,15,6,9,Reliance Fresh,other
4060.12,14,0,5,HDFC EMI,bills
432.87,23,5,3,Auto Rickshaw,transport
794.97,12,0,6,Decathlon,entertainment
1968.58,23,5,5,LIC Premium,bills
3264.68,11,0,5,Spotify,bills
444.43,17,2,3,Air India,transport
3213.48,14,5,9,Flipkart,other
870.07,1,2,5,Airtel,bills
1785.79,4,3,7,Steam,entertainment
896.34,23,5,6,Decathlon,entertainment
67.53,15,4,2,Ola Electric,transport
162.16,11,1,6,PlayStation Store,entertainment
1725.36,3,5,7,Steam,entertainment
1920.99,12,2,4,Netflix,bills
64.0,6,5,3,RedBus,transport
3955.29,7,1,8,Amazon,other
3849.27,6,4,9,Reliance Fresh,other
177.71,4,6,3,Auto Rickshaw,transport
2747.06,5,0,8,Apollo Pharmacy,transport
642.49,7,4,1,Burger King,food
807.57,13,4,4,Jio,bills
386.21,11,4,1,Dunzo,food
1185.59,19,0,8,PhonePe,other
4823.73,1,3,8,Zepto,other
1031.51,14,0,7,PVR Cinemas,entertainment
99.26,8,4,0,McDonald's,food
1966.43,19,4,9,HDFC Bank ATM,other
2264.39,22,0,5,Society Maintenance,bills
2207.34,7,3,9,1mg,other
2196.17,3,2,4,ICICI EMI,bills
811.17,4,5,6,PlayStation Store,entertainment
920.57,23,5,7,PVR Cinemas,food
486.97,17,4,4,Gas Bill,bills
1896.62,21,6,4,ICICI EMI,bills
1939.96,19,2,6,BookMyShow,entertainment
1220.36,21,3,4,Gas Bill,bills
425.78,11,0,3,Namma Metro,transport
2259.17,17,6,4,Hotstar,bills
2828.02,19,5,8,Zepto,other
3859.33,10,2,5,Amazon Prime,bills
474.74,12,0,0,McDonald's,food
64.04,16,1,2,Ola,transport
399.08,9,5,7,Myntra,entertainment
3061.47,1,1,5,Society Maintenance,bills
343.5,8,3,2,Ola,transport
886.95,6,6,7,Nykaa,entertainment
643.36,21,5,8,SBI ATM,other
1611.26,7,3,8,Zepto,other
4732.09,4,6,8,Practo,transport
236.11,23,3,5,Airtel,bills
357.76,16,4,2,IndiGo,transport
288.98,2,6,4,ICICI EMI,food
2140.63,20,3,5,Society Maintenance,bills
4837.72,5,6,4,Jio,bills
4606.87,2,3,9,D-Mart,other
350.34,2,3,1,BigBasket,food
1798.06,5,0,5,Electricity Bill,bills
2598.77,11,2,8,PhonePe,other
142.86,5,4,2,Rapido,transport
56.17,20,3,2,Ola Electric,transport
952.92,18,5,7,Crossword,entertainment
1649.08,14,0,8,Zepto,other
1613.03,18,0,6,PlayStation Store,entertainment
2415.83,1,0,4,Water Bill,bills
3294.04,2,4,5,Airtel,bills
2943.61,23,0,9,Paytm,other
1338.49,10,4,7,Crossword,entertainment
955.99,10,5,6,BookMyShow,entertainment
79.36,22,3,0,McDonald's,food
401.62,11,2,7,Crossword,entertainment
1389.91,1,6,7,Myntra,entertainment
3455.9,9,2,4,Gas Bill,food
499.36,21,1,9,HDFC Bank ATM,other
3552.4,12,1,4,Netflix,bills
1616.95,12,5,9,Flipkart,other
3573.29,23,5,4,Netflix,bills
1872.96,11,2,8,PhonePe,entertainment
474.88,15,1,3,Namma Metro,transport
57.04,3,4,2,Rapido,transport
2680.0,21,2,8,More Supermarket,other
855.84,5,6,8,SBI ATM,other
3633.8,1,3,8,Apollo Pharmacy,other
4853.99,19,2,5,Electricity Bill,bills
687.99,15,6,7,Steam,entertainment
492.53,14,6,3,Air India,transport
2731.33,5,6,4,Gas Bill,bills
439.04,1,5,2,Rapido,transport
1875.16,22,6,6,Decathlon,entertainment
510.99,5,2,8,Practo,other
1678.99,2,1,6,INOX,entertainment
888.3,12,4,6,BookMyShow,entertainment
1998.96,0,2,5,Airtel,bills
301.47,4,1,0,Tea Stall,food
404.34,4,6,1,Pizza Hut,food
1821.13,0,2,6,BookMyShow,entertainment
471.31,19,4,2,IndiGo,transport
551.52,3,0,6,PlayStation Store,entertainment
239.41,3,6,3,Air India,transport
1300.71,18,1,6,BookMyShow,entertainment
315.11,7,4,2,Ola,transport
1094.62,11,0,7,PVR Cinemas,entertainment
4942.82,17,0,8,Big Bazaar,other
1307.77,11,2,6,BookMyShow,entertainment
308.6,23,5,1,Zomato,food
617.51,4,0,1,Chai Point,food
3285.06,21,3,5,Spotify,bills
219.89,14,0,6,INOX,entertainment
1156.65,1,2,4,Hotstar,bills
2806.09,8,0,5,Spotify,bills
435.58,10,2,2,Ola,transport
717.11,23,3,0,Blinkit,food
1042.79,15,2,6,INOX,entertainment
3662.7,2,3,9,Flipkart,other
2772.82,10,0,8,Apollo Pharmacy,other
279.87,19,5,0,KFC,food
767.94,1,5,7,Nykaa,entertainment
1517.14,1,0,4,ICICI EMI,bills
1910.3,4,6,6,INOX,entertainment
270.51,2,1,9,Paytm,other
354.48,4,5,5,Society Maintenance,bills
943.48,2,4,7,Myntra,entertainment
170.91,8,1,2,Indian Railways,transport
438.31,17,0,1,Dunzo,transport
2341.56,19,2,5,Amazon Prime,bills
1720.37,14,1,6,INOX,entertainment
1368.9,22,0,7,Myntra,entertainment
1569.79,5,5,8,More Supermarket,other
127.64,6,6,2,IndiGo,transport
32.62,17,4,3,RedBus,transport
822.03,2,0,4,Gas Bill,bills
3650.29,16,3,5,Amazon Prime,bills
338.12,10,5,7,PVR Cinemas,entertainment
438.02,4,6,0,Tea Stall,food
3862.13,4,3,8,Apollo Pharmacy,other
4173.81,16,1,8,Amazon,other
4686.68,7,2,5,HDFC EMI,bills
486.41,6,5,9,Reliance Fresh,other
1583.84,17,0,8,Zepto,other
4713.87,4,1,9,Google Pay,other
1754.34,18,0,9,Google Pay,other
538.35,18,3,0,KFC,other
4456.08,17,2,9,Paytm,other
4075.08,12,2,4,Hotstar,bills
935.25,15,3,6,INOX,food
170.04,22,2,2,Rapido,transport
3850.95,16,4,4,BSNL,bills
141.89,14,1,1,Dunzo,food
434.8,13,1,2,Indian Railways,bills
366.14,6,6,3,Air India,transport
244.07,9,3,2,IndiGo,transport
392.92,7,1,0,Swiggy Instamart,entertainment
1478.65,19,6,8,Amazon,other
1709.63,13,1,6,BookMyShow,entertainment
2135.02,1,3,4,Hotstar,bills
321.89,9,0,1,Dominos,food
631.47,19,5,6,Decathlon,entertainment
2030.13,10,4,9,Flipkart,other
3091.42,12,4,5,Electricity Bill,bills
299.78,15,4,1,Chai Point,transport
365.58,19,2,6,Decathlon,entertainment
374.87,9,4,3,Air India,transport
2754.76,22,4,4,Gas Bill,bills
1967.49,21,0,4,Jio,bills
1234.13,8,5,6,BookMyShow,entertainment
351.64,15,1,9,D-Mart,other
3895.57,12,1,9,Google Pay,other
29.09,10,3,3,Auto Rickshaw,food
216.98,19,3,3,Auto Rickshaw,transport
205.51,10,5,0,Swiggy Instamart,food
1917.7,14,4,7,Myntra,entertainment
3905.32,23,5,4,Netflix,bills
4795.18,8,4,5,Electricity Bill,bills
3901.41,22,1,4,Water Bill,bills
1164.93,23,2,7,Myntra,entertainment
2806.86,12,6,4,Netflix,bills
902.23,1,2,4,Hotstar,bills
541.98,23,3,1,Dunzo,food
150.14,17,5,2,IndiGo,transport
3756.02,7,1,5,Society Maintenance,bills
219.25,7,0,0,Swiggy Instamart,food
404.3,21,6,1,Chai Point,food
215.32,15,3,2,Rapido,other
174.16,20,0,2,BMTC,transport
451.36,23,6,1,Dominos,food
363.41,5,0,0,McDonald's,food
1879.56,9,0,6,INOX,entertainment
130.48,10,2,1,BigBasket,food
1096.21,4,6,6,Decathlon,entertainment
4063.19,10,1,9,1mg,other
126.76,10,6,6,INOX,entertainment
1126.37,19,6,4,Hotstar,bills
723.06,12,5,6,Decathlon,entertainment
408.09,7,0,0,McDonald's,food
3817.79,10,2,5,LIC Premium,bills
1381.61,11,5,8,Amazon,other
167.27,12,5,3,RedBus,food
3547.43,9,5,8,More Supermarket,other
325.66,7,1,0,KFC,food
378.91,19,2,3,RedBus,transport
1538.97,21,6,7,Nykaa,entertainment
382.27,2,4,2,Ola Electric,transport
248.4,18,0,7,Myntra,entertainment
429.12,18,4,0,Haldirams,food
232.08,21,1,2,IndiGo,transport
2600.84,1,3,8,More Supermarket,other
290.68,17,3,3,RedBus,transport
1420.65,0,5,4,ICICI EMI,bills
223.37,22,0,2,Ola,transport
4481.67,15,0,8,More Supermarket,other
849.19,20,5,4,Hotstar,bills
952.22,12,3,6,Ajio,entertainment
705.92,4,5,0,Tea Stall,food
2086.07,4,5,4,Gas Bill,bills
489.68,14,5,2,Ola,transport
4134.47,7,3,8,SBI ATM,other
4699.51,23,6,5,Electricity Bill,bills
624.54,0,1,1,BigBasket,entertainment
234.29,21,5,2,Ola,other
351.7,7,4,0,Swiggy,food
87.27,9,1,2,Ola,transport
3885.44,10,1,9,Google Pay,other
2701.53,13,2,4,Netflix,bills
3728.75,5,5,4,YouTube Premium,other
1947.35,20,5,6,BookMyShow,entertainment
1422.99,13,1,7,Myntra,entertainment
2781.59,7,6,4,Hotstar,bills
406.77,1,4,2,Rapido,transport
1106.98,12,1,6,Decathlon,entertainment
578.62,14,6,4,Netflix,bills
1487.88,21,4,4,Jio,transport
4042.79,18,5,9,1mg,food
4360.42,10,2,9,1mg,other
771.56,3,5,1,Dominos,food
1437.16,12,1,7,Crossword,entertainment
1965.24,17,5,8,Practo,other
2661.03,15,3,5,HDFC EMI,bills
402.12,10,1,1,Chai Point,food
2899.68,7,5,4,Jio,bills
297.99,13,2,3,Air India,other
202.32,7,3,3,Auto Rickshaw,transport
1754.06,15,5,8,Zepto,other
421.6,23,4,7,Myntra,entertainment
1981.61,1,4,6,Decathlon,entertainment
758.89,21,0,1,Zomato,food
523.03,2,5,1,Pizza Hut,food
199.14,19,5,3,RedBus,other
2490.49,0,4,8,Zepto,other
2694.15,8,4,8,Amazon,other
4710.56,5,0,4,Hotstar,entertainment
193.95,16,2,1,Dominos,food
578.37,12,3,4,ICICI EMI,bills
1206.7,21,6,9,D-Mart,other
537.42,1,0,1,Pizza Hut,food
1004.41,20,0,6,Decathlon,entertainment
396.5,18,6,2,Ola Electric,entertainment
81.91,6,6,0,Haldirams,food
4628.38,21,2,8,Amazon,other
978.84,10,0,8,Amazon,other
465.86,9,1,2,Indian Railways,transport
4262.27,21,4,9,Reliance Fresh,other
870.9,22,5,5,Amazon Prime,bills
90.27,13,1,1,Burger King,food
510.4,19,3,0,Subway,food
4964.4,15,1,4,Hotstar,bills
2272.3,21,4,4,ICICI EMI,bills
1616.3,22,0,6,PlayStation Store,other
583.76,20,1,0,Blinkit,food
273.89,9,3,7,PVR Cinemas,entertainment
835.17,5,3,5,Airtel,bills
875.28,0,0,6,Decathlon,entertainment
3070.21,10,6,5,Society Maintenance,bills
1580.42,23,4,6,Ajio,entertainment
348.95,5,1,2,Rapido,transport
899.63,5,3,5,LIC Premium,bills
3956.58,11,2,5,LIC Premium,bills
305.03,6,3,3,RedBus,transport
761.62,10,6,0,Swiggy,food
1714.75,10,3,9,Reliance Fresh,other
3055.74,22,1,9,HDFC Bank ATM,other
1940.58,9,5,6,Ajio,entertainment
719.18,8,6,7,Steam,entertainment
479.62,17,1,7,Crossword,entertainment
1127.28,9,6,9,D-Mart,entertainment
646.28,21,3,0,Subway,food
141.29,4,5,3,Auto Rickshaw,transport
953.23,19,3,7,PVR Cinemas,entertainment
4625.13,22,3,8,PhonePe,other
4487.96,17,4,9,D-Mart,bills
543.2,11,1,1,Dominos,food
1724.82,13,0,8,Big Bazaar,entertainment
610.14,17,4,0,Swiggy Instamart,transport
2016.56,21,4,9,HDFC Bank ATM,other
2465.58,9,3,8,Amazon,other
156.26,9,2,1,Chai Point,food
1017.56,15,0,6,Decathlon,entertainment
705.93,9,0,7,Nykaa,entertainment
132.02,5,5,0,Tea Stall,bills
96.87,17,3,2,IndiGo,transport
1296.54,5,5,6,Ajio,entertainment
1777.89,14,4,7,Crossword,entertainment
490.99,22,6,7,Steam,entertainment
703.98,5,2,0,Subway,food
1458.56,15,4,5,Airtel,bills
2083.6,3,2,5,Society Maintenance,bills
1027.3,21,5,5,Society Maintenance,bills
605.89,4,2,5,Society Maintenance,bills
187.28,22,1,1,Zomato,food
775.55,12,3,9,Google Pay,other
352.85,20,1,2,IndiGo,transport
787.45,10,6,8,Practo,other
1908.5,15,1,7,Myntra,entertainment
262.61,15,3,2,IndiGo,transport
1028.53,2,4,7,Nykaa,entertainment
269.07,8,1,1,Dominos,food
2340.87,23,6,8,Big Bazaar,other
1188.16,8,6,7,PVR Cinemas,entertainment
2756.01,1,6,9,HDFC Bank ATM,other
294.59,20,6,6,Ajio,entertainment
235.87,11,6,2,Ola,transport
631.72,7,1,1,Zomato,food
3582.69,20,3,9,Reliance Fresh,other
410.49,1,4,3,Auto Rickshaw,transport
2785.63,10,5,5,Society Maintenance,bills
4771.46,16,5,4,Water Bill,bills
639.27,1,2,0,Subway,food
139.85,22,2,2,Rapido,transport
208.5,4,4,2,Ola Electric,transport
2369.01,20,6,4,ICICI EMI,bills
258.67,11,3,1,Chai Point,food
1750.92,23,0,6,BookMyShow,entertainment
1715.2,17,3,7,Myntra,entertainment
257.46,10,6,3,Auto Rickshaw,transport
825.98,15,6,5,Society Maintenance,bills
431.41,3,5,4,Hotstar,bills
967.38,13,1,7,Nykaa,transport
96.31,8,0,2,BMTC,transport
3389.31,20,1,5,HDFC EMI,bills
594.49,7,3,0,KFC,food
210.07,2,1,0,Swiggy,food
2280.83,0,5,8,Zepto,other
2226.53,4,3,5,Spotify,bills
598.07,3,0,1,Zomato,food
857.36,4,5,4,Water Bill,bills
312.95,5,3,2,Ola,other
3791.44,13,4,4,Netflix,bills
1803.53,4,6,7,PVR Cinemas,entertainment
313.65,13,2,0,Blinkit,food
60.44,17,4,2,Ola Electric,transport
3916.95,22,0,8,Practo,other
2645.22,23,3,5,Society Maintenance,bills
4509.88,7,3,4,Hotstar,bills
1312.36,2,4,7,Nykaa,entertainment
287.35,12,6,0,Haldirams,food
3446.42,15,6,8,PhonePe,other
246.64,1,0,0,Swiggy,food
1557.51,13,5,6,Decathlon,entertainment
1270.49,8,0,6,Decathlon,other
944.97,10,3,4,Hotstar,transport
3284.21,20,0,9,Reliance Fresh,other
4776.41,7,0,5,Amazon Prime,bills
237.62,19,0,3,Uber,entertainment
3754.9,3,0,4,Netflix,bills
258.28,11,4,2,Rapido,transport
1370.31,11,1,9,D-Mart,other
3902.64,0,2,5,Airtel,bills
599.6,18,5,7,PVR Cinemas,entertainment
320.09,15,6,0,Swiggy Instamart,food
1350.07,3,4,8,Apollo Pharmacy,other
51.93,0,1,0,Swiggy Instamart,food
740.17,5,6,0,Blinkit,food
585.52,20,3,0,Haldirams,food
459.61,10,2,2,Indian Railways,transport
426.53,1,1,1,Zomato,food
477.96,2,3,2,Ola,transport
1770.37,17,3,4,Water Bill,bills
472.86,9,5,0,KFC,food
2999.29,15,6,9,HDFC Bank ATM,other
385.03,7,1,2,IndiGo,transport
224.75,11,5,0,Swiggy,food
619.2,12,6,0,Swiggy,food
4918.94,13,3,4,Gas Bill,bills
583.74,2,0,0,McDonald's,food
218.27,11,3,2,IndiGo,transport
150.14,12,0,0,Swiggy Instamart,food
3345.98,4,1,8,SBI ATM,other
4644.93,12,5,5,HDFC EMI,bills
1320.57,6,1,4,Water Bill,bills
905.44,14,2,9,Flipkart,other
1932.81,6,3,7,Myntra,entertainment
774.7,5,6,5,Spotify,bills
3095.46,6,6,5,Amazon Prime,bills
1390.7,11,3,5,Amazon Prime,bills
4118.44,5,0,8,Practo,bills
1521.35,7,0,6,Decathlon,entertainment
330.76,1,6,6,INOX,entertainment
198.68,20,5,2,Indian Railways,transport
738.07,2,0,0,KFC,food
382.57,4,0,0,Tea Stall,food
442.11,18,3,5,LIC Premium,bills
1398.1,5,2,6,Ajio,entertainment
154.33,4,0,2,BMTC,transport
3271.66,15,3,9,1mg,other
1470.9,4,3,9,Flipkart,other
139.59,17,6,2,IndiGo,transport
585.03,15,4,0,Subway,food
1054.55,12,2,7,Crossword,entertainment
34.07,8,0,3,Auto Rickshaw,other
1999.25,5,0,7,Crossword,entertainment
276.17,23,0,2,BMTC,transport
190.31,5,1,2,Indian Railways,transport
458.71,0,5,3,Namma Metro,transport
881.23,6,6,5,Society Maintenance,bills
1031.83,2,0,6,INOX,entertainment
272.7,0,2,2,Ola,transport
1769.72,5,6,8,Apollo Pharmacy,other
3582.25,4,6,5,Society Maintenance,transport
323.67,2,2,1,Pizza Hut,food
673.35,4,1,7,Myntra,entertainment
1333.44,5,5,7,Nykaa,entertainment
3107.17,11,1,8,More Supermarket,other
1603.43,22,2,8,SBI ATM,other
475.42,18,3,2,Ola,transport
4613.09,19,1,9,HDFC Bank ATM,other
789.15,23,0,9,Paytm,other
100.59,2,6,3,Namma Metro,transport
1205.69,22,0,4,Water Bill,bills
3657.71,1,3,5,Airtel,bills
1780.65,15,3,6,INOX,entertainment
4178.1,18,5,5,Airtel,bills
403.61,1,2,3,Uber,transport
105.65,5,3,1,Zomato,food
472.08,2,2,2,IndiGo,transport
2465.41,0,3,8,More Supermarket,other
95.41,3,2,2,Indian Railways,transport
354.65,23,5,2,Indian Railways,transport
1557.26,3,0,8,Practo,other
391.82,11,0,7,Nykaa,entertainment
479.38,0,1,7,Nykaa,other
247.31,3,2,3,Uber,transport
273.16,17,3,6,PlayStation Store,entertainment
197.31,14,0,2,Indian Railways,transport
1285.19,8,4,4,Water Bill,bills
550.6,2,5,1,Chai Point,food
4859.36,18,1,4,ICICI EMI,bills
2660.65,17,5,9,Reliance Fresh,entertainment
1004.9,2,3,7,Steam,entertainment
437.61,18,5,0,Haldirams,food
2300.29,5,1,8,Big Bazaar,other
57.62,21,3,2,Indian Railways,transport
90.98,19,2,2,Ola Electric,transport
4075.06,2,3,4,YouTube Premium,bills
4297.46,16,3,9,HDFC Bank ATM,other
490.68,13,0,1,BigBasket,food
1217.07,3,0,7,Crossword,entertainment
1501.85,17,2,8,Big Bazaar,other
1186.84,15,0,7,Nykaa,entertainment
316.76,21,5,2,Rapido,transport
193.65,15,2,7,Steam,bills
1544.94,15,6,4,Water Bill,bills
150.79,23,3,1,Dominos,food
3103.5,2,1,4,ICICI EMI,bills
1507.8,16,6,6,Ajio,entertainment
3998.95,2,2,4,Gas Bill,bills
4271.35,18,0,8,Big Bazaar,other
421.75,7,0,3,Auto Rickshaw,transport
620.56,14,4,7,Steam,bills
1394.23,7,2,7,PVR Cinemas,entertainment
1924.99,15,4,6,INOX,entertainment
4204.5,8,5,8,Apollo Pharmacy,other
87.24,18,6,0,Blinkit,food
128.05,6,2,2,Ola Electric,transport
1000.78,4,5,6,BookMyShow,entertainment
127.41,19,6,2,Ola,transport
3284.8,13,3,5,Amazon Prime,bills
2439.62,21,4,5,Electricity Bill,bills
136.0,21,6,9,Flipkart,other
3123.05,9,5,5,Society Maintenance,bills
791.27,20,2,1,Burger King,food
4770.45,20,2,5,Amazon Prime,bills
451.85,19,3,3,Auto Rickshaw,transport
321.21,15,2,5,Amazon Prime,bills
2063.11,1,4,4,ICICI EMI,bills
3660.09,7,5,9,HDFC Bank ATM,other
4541.98,21,2,9,Paytm,other
4219.13,17,1,8,Apollo Pharmacy,other
1440.79,17,6,5,Amazon Prime,transport
334.13,7,2,3,Namma Metro,transport
221.83,10,2,2,BMTC,transport
4285.68,15,0,5,LIC Premium,bills
448.96,6,4,9,Google Pay,other
447.38,13,0,0,Blinkit,food
184.48,18,3,3,Auto Rickshaw,transport
393.89,15,2,2,Rapido,transport
22.26,8,1,2,Ola,transport
255.0,2,1,2,Rapido,transport
2076.63,15,3,8,SBI ATM,other
329.83,0,2,1,Chai Point,transport
120.21,23,1,8,Zepto,other
169.8,3,3,3,Namma Metro,transport
419.91,1,2,8,Apollo Pharmacy,other
3062.17,10,3,4,Gas Bill,bills
192.44,6,1,3,RedBus,transport
501.26,0,4,6,INOX,transport
3584.44,1,3,9,HDFC Bank ATM,other
432.27,1,5,5,Society Maintenance,bills
86.18,3,3,0,Swiggy,food
580.2,22,1,6,Decathlon,entertainment
24.47,13,5,2,Ola Electric,transport
